A,17.10.2023,/inzerat/175741230/prodej-bytu-3184m-b-smetany-ceske-budejovice.php,4250000,01,0,3+1,|  osobní  |  družstevní  |  po rekonstrukci  |  zateplen  
A,16.10.2023,/inzerat/174521279/byt-jeronymova-4812.php,5700000,01,0,3+1,|  osobní  |  družstevní  |  po rekonstrukci  |  zateplen  
A,16.10.2023,/inzerat/175680417/prodej-byt-31-61.php,Dohodou,01,0,3+1,|  osobní  |  družstevní  |  zateplen  
X,12.10.2023,/inzerat/175515401/prodej-bytu-31.php,2690000,01,0,3+1,|  družstevní  |  zateplen  
A,10.10.2023,/inzerat/175420863/prodej-bytu-31-68-m2-ulice-k-chocholy-ceske-budejovice.php,Dohodou,05,0,3+1,|  osobní  |  zateplen  |  plastová okna  
A,09.10.2023,/inzerat/175379000/k-prodeji-prijemny-a-udrzovany-byt-31-2x-sklep-ul-jachymovska-zliv.php,3690000,44,0,3+1,|  po rekonstrukci  |  zateplen  |  plastová okna  
A,04.10.2023,/inzerat/175155193/krasny-byt-v-centru-c-budejovic.php,5600000,01,0,3+1,|  OV  
A,03.10.2023,/inzerat/175083943/prodej-bytu-31-69-m-tyn-nad-vltavou-ul-orlicka.php,2995000,01,0,3+1,|  družstevní  |  zateplen  |  plastová okna  
A,03.10.2023,/inzerat/175076969/prodej-prostorneho-bytu-31-karla-iv-ceske-budejovice.php,7900000,01,0,3+1,|  OV  
A,02.10.2023,/inzerat/175021582/prodam-podily-ve-trech-bytech-v-ceskych-budejovicich.php,360000,01,0,3+1,
A,30.09.2023,/inzerat/174954083/prodej-bytu-31-v-osobnim-vlastnictvi-5-10-minut-chuzi-do-ce.php,5500000,01,0,3+1,|  osobní  |  OV  |  MHD  |  plastová okna  
A,23.09.2023,/inzerat/174639520/byt-31.php,2980000,11,0,3+1,|  OV  
