Active,Date Added,Last Active,URL,Price,ZIP,City,Disposition,Details
A,08.07.2024,10.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0299141:590qspobknv.22.w.dc.cmj{lp.dfousb.b.wjbevluv/qiq,9000,481!12,čftlê!CveĜkpwjdf,1+1,""
A,03.07.2024,10.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029892:7770imfebn.empvipepcz.qspobkfn/qiq,Dohodou,481!16,čftlê!CveĜkpwjdf,1+1,""
A,28.06.2024,10.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02987238480qspobkfn.czuv.22.37.n.vm.mjqfotlb.dftlf.cvefkpwjdf/qiq,11000,481!12,čftlê!CveĜkpwjdf,1+1,""
X,26.06.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02986585560qspobkfn.czuv.22.t.cbmlpofn.53n3.w.vmjdj.k.pqmfubmb.dftlf.cvefkpwjdf/qiq,10500,481!16,čftlê!CveĜkpwjdf,1+1,|  centrum  |  balk  
X,25.06.2024,25.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02985:33650qspobkfn.22.dftlz.lsvnmpw.qmftjwfd/qiq,11000,481!12,čftlê!CveĜkpwjdf,1+1,|  po rekonstrukci  |  zateplen  |  balk  
A,25.06.2024,10.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02985::6:20qspobkfn.qflofip.czuv.22.w.vmjdj.qvlmjdpwb.dftlf.cvefkpwjdf/qiq,10000,481!15,čftlê!CveĜkpwjdf,1+1,""
X,24.06.2024,01.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02985747160qspobknv.czu.22.wzcbwfoz.feftujopwf.dftlf.cvefkpwjdf/qiq,13000,481!12,čftlê!CveĜkpwjdf,1+1,""
A,18.06.2024,10.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02982:76:40qspobkfn.wzcbwfofip.czuv.22.w.vmjdj.ofsvepwb.dftlf.cvefkpwjdf/qiq,9000,481!15,čftlê!CveĜkpwjdf,1+1,""
X,11.06.2024,28.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0297:191250qspobkfn.czu.22.48/qiq,13000,481!16,čftlê!CveĜkpwjdf,1+1,|  balk  
A,10.06.2024,10.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02979232520qspobkfn.czu.22.vm.tubspnftutlb.dftlf.cvefkpwjdf/qiq,8900,481!15,čftlê!CveĜkpwjdf,1+1,|  po rekonstrukci  |  balk  
X,09.06.2024,24.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02979198790qspobknv.czu.22.wzcbwfoz.feftujopwf.dftlf.cvefkpwjdf/qiq,13000,481!12,čftlê!CveĜkpwjdf,1+1,""
X,07.06.2024,09.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02978119:70qspobkfn.22.dftlf.cvefkpwjdf.publbspwb/qiq,9200,481!12,čftlê!CveĜkpwjdf,1+1,""
X,06.06.2024,06.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029777:5880qspobkfn.22.dftlf.cvefkpwjdf.publbspwb/qiq,9200,481!12,čftlê!CveĜkpwjdf,1+1,""
A,05.06.2024,10.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029773525:0qspobkfn.czuz.22.58.n3.usipwf.twjoz.fwd.bl.853:/qiq,9000,485!12,čftlê!CveĜkpwjdf,1+1,|  balk  
X,04.06.2024,09.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02976:41:40qspobknv.czu.22.wzcbwfoz.feftujopwf.dftlf.cvefkpwjdf/qiq,14000,481!12,čftlê!CveĜkpwjdf,1+1,""
A,03.06.2024,10.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029764414:0qspobkfn.czuv.22.w.usipwzdi.twjofdi/qiq,Vtextu,485!12,čftlê!CveĜkpwjdf,1+1,|  osobní  |  zateplen  |  balk  
X,02.06.2024,09.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02975899820czu.w.usipwzdi.twjofdi/qiq,9000,485!12,čftlê!CveĜkpwjdf,1+1,|  balk  
X,30.05.2024,21.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029744:1590qspobkfn.czuv.22.37.n.vm.mjqfotlb.dftlf.cvefkpwjdf/qiq,11000,481!12,čftlê!CveĜkpwjdf,1+1,""
A,26.05.2024,10.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02972462810czu.22/qiq,13000,484!27,čftlê!CveĜkpwjdf,1+1,""
X,23.05.2024,11.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0297128:760qspobkfn.czu.22.45/qiq,11500,481!15,čftlê!CveĜkpwjdf,1+1,|  balk  
X,21.05.2024,28.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0296:3:::40qspobkfn.czuz.22.44.n3.dftlf.cvefkpwjdf.3.fwd.ns.8525/qiq,12000,481!16,čftlê!CveĜkpwjdf,1+1,|  zateplen  
