Active,Date Added,Last Active,URL,Price,ZIP,City,Disposition,Details
X,22.04.2025,13.06.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03125296540qspefk.czuz.22.43.n3.dftlf.cvefkpwjdf.4.fwd.nl.881:/qiq,3150000,481!15,čftlê!CveĜkpwjdf,1+1,|  osobní  |  centrum  
X,15.04.2025,11.06.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu031221:26:0czu/qiq,Nerozhoduje,481!12,čftlê!CveĜkpwjdf,1+1,""
X,07.04.2025,23.05.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0311823:180qspefk.czu.22.48/qiq,2290000,481!12,čftlê!CveĜkpwjdf,1+1,|  centrum  |  MHD  
X,27.03.2025,26.05.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03112767550qspefk.{efofip.czuv.22.tlvifstlfip.dftlf.cvefkpwjdf/qiq,2900000,481!12,čftlê!CveĜkpwjdf,1+1,|  osobní  |  OV  |  centrum  |  MHD  
X,25.03.2025,01.04.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu031117:816022.dc.nbujdf.tlpmtlf/qiq,3298000,481!12,čftlê!CveĜkpwjdf,1+1,|  plastová okna  
X,25.03.2025,25.03.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03111732:70qspefk.czuv.22.54.n/qiq,3100000,481!16,čftlê!CveĜkpwjdf,1+1,|  osobní  |  centrum  |  MHD  
X,21.03.2025,02.04.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02::9668810qspefk.czuv.22.48n3.vmjdf.k.pqmfubmb.dftlf.cvefkpwjdf/qiq,3150000,481!16,čftlê!CveĜkpwjdf,1+1,|  centrum  |  MHD  |  balk  
X,19.03.2025,18.05.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02::8767180qspefk.czuv.22.54.n.t.hbsb{j.wf.{mjwj.vm.opwb/qiq,3500000,484!55,čftlê!CveĜkpwjdf,1+1,|  osobní  |  družstevní  |  balk  
X,11.03.2025,23.03.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02::2815770qspefk.czuv.31.4:n3.vmjdf.wwpmgb.ew.21.qbusp.tlmfq/qiq,2490000,481!12,čftlê!CveĜkpwjdf,1+1,|  osobní  |  OV  |  družstevní  |  zateplen  
X,06.03.2025,31.03.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02::2275710qspebn/qiq,2390000,484!44,čftlê!CveĜkpwjdf,1+1,""
X,17.02.2025,26.02.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:94189510qspefk.czu.22.42/qiq,2890000,481!16,čftlê!CveĜkpwjdf,1+1,|  družstevní  
X,11.02.2025,17.02.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:9171:7:0czu.22/qiq,3500000,481!12,čftlê!CveĜkpwjdf,1+1,|  OV  |  balk  
X,31.01.2025,01.04.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:86265530qsptupsoz.{efoz.czu.22.w.ptpcojn.wmbtuojduwj.fwd.nl.8712/qiq,3590000,481!15,čftlê!CveĜkpwjdf,1+1,|  osobní  |  centrum  
X,30.01.2025,07.02.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:8561:870qspefk.czuv.22.42.n.dftlf.cvefkpwjdf.vm.evcfotlb/qiq,2450000,481!16,čftlê!CveĜkpwjdf,1+1,|  osobní  |  družstevní  
X,29.01.2025,29.01.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:85117:30qspefk.czu.22.42.n3.vm.n.ipsblpwf.dftlf.cvefkpwjdf/qiq,3090000,481!16,čftlê!CveĜkpwjdf,1+1,|  osobní  |  OV  |  družstevní  |  balk  
X,21.01.2025,27.02.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:813211:0qspefk.czu.22.ew.51.n3.k.cfoez.tjem.nbk.dftlf.cvefkpwjdf/qiq,3300000,481!16,čftlê!CveĜkpwjdf,1+1,|  zateplen  |  MHD  |  balk  |  plastová okna  
X,20.01.2025,21.03.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:7:657350qspefk.{efofip.czuv.22.tlvifstlfip.dftlf.cvefkpwjdf/qiq,2900000,481!12,čftlê!CveĜkpwjdf,1+1,|  osobní  |  OV  |  centrum  |  MHD  
X,31.12.2024,02.02.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:71287120qspefk.czuz.22.43.n3.dftlf.cvefkpwjdf.4.fwd.nl.8724/qiq,3100000,481!15,čftlê!CveĜkpwjdf,1+1,|  osobní  |  centrum  
X,13.12.2024,31.01.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:64446920qsptupsoz.{efoz.czu.22.w.ptpcojn.wmbtuojduwj.fwd.nl.8712/qiq,3590000,481!15,čftlê!CveĜkpwjdf,1+1,|  osobní  |  centrum  
X,29.11.2024,28.01.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:57748240qspefk.czu.22.42.n3.vm.n.ipsblpwf.dftlf.cvefkpwjdf/qiq,3390000,481!16,čftlê!CveĜkpwjdf,1+1,""
X,20.11.2024,19.01.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:53335450qspefk.{efofip.czuv.22.tlvifstlfip.dftlf.cvefkpwjdf/qiq,2900000,481!12,čftlê!CveĜkpwjdf,1+1,|  osobní  |  OV  |  centrum  |  MHD  
X,18.11.2024,02.12.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:52394260qspefk.czu.32.58n3.dftlf.cvefkpwjdf.4.c.tnfuboz/qiq,3880000,481!12,čftlê!CveĜkpwjdf,1+1,|  po rekonstrukci  |  plastová okna  
X,18.11.2024,03.01.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:5234::50qspebn.czu.22.w.dfousv.dftlzdi.cvefkpwjd/qiq,3500000,481!17,čftlê!CveĜkpwjdf,1+1,""
X,04.11.2024,06.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:455:1440qspefk.czuv.22.w.dc/qiq,3110000,481!17,čftlê!CveĜkpwjdf,1+1,|  zateplen  |  plastová okna  
X,08.10.2024,13.10.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:32839370czu.2.2/qiq,Dohodou,481!15,čftlê!CveĜkpwjdf,1+1,|  osobní  
X,04.10.2024,07.10.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:2:942460wubmjdib.dc/qiq,3400000,481!12,čftlê!CveĜkpwjdf,1+1,|  OV  |  balk  
X,01.10.2024,30.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:2946:370czu.22.66.n3.{bisbeb.czopw/qiq,649000,485!12,čftlê!CveĜkpwjdf,1+1,""
X,27.09.2024,15.10.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:27395540qspefkczu.22.41n3.vm.tlvifstlfip.dftlf.cvefkpwjdf/qiq,2900000,481!12,čftlê!CveĜkpwjdf,1+1,""
X,23.09.2024,22.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:25676820czu.w.dc.ob.qspefk/qiq,3299000,481!12,čftlê!CveĜkpwjdf,1+1,|  plastová okna  
X,16.09.2024,15.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:22614830qspefk.{efofip.czuv.22.tlvifstlfip.dftlf.cvefkpwjdf/qiq,2900000,481!12,čftlê!CveĜkpwjdf,1+1,|  osobní  |  OV  |  centrum  |  MHD  
X,09.09.2024,30.10.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:19463490qspefk.czuv.22.w.dc/qiq,3295000,481!17,čftlê!CveĜkpwjdf,1+1,|  zateplen  |  plastová okna  
X,04.09.2024,09.09.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:17118830qspefk.czu.22.5:/qiq,2921000,481!15,čftlê!CveĜkpwjdf,1+1,|  osobní  |  OV  |  balk  
X,03.09.2024,02.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:1659:390qspefk.czuv.pw.22.dftlf.cvefkpwjdf/qiq,2990000,481!16,čftlê!CveĜkpwjdf,1+1,|  osobní  |  OV  
X,28.08.2024,27.10.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:13::9530qspefk.czu.32.69n3.dftlf.cvefkpwjdf.4.c.tnfuboz/qiq,3880000,481!12,čftlê!CveĜkpwjdf,1+1,|  po rekonstrukci  |  plastová okna  
X,08.08.2024,07.10.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029:5417360czu.2.2/qiq,3850000,481!15,čftlê!CveĜkpwjdf,1+1,|  osobní  
X,30.07.2024,28.09.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029:1324140qspefk.es.czuv.22.67.n3.v.uzob.obe.wmubwpv.nbmb.tusbob/qiq,Vtextu,486!12,čftlê!CveĜkpwjdf,1+1,|  OV  
