Active,Date Added,Last Active,URL,Price,ZIP,City,Disposition,Details
X,12.10.2025,13.10.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu031:2945170czu.32.t.cbmlpofn.3.qbusp.66n3.ofsvepwb.dc/qiq,"<spantranslate=""no"">13000</span>",481!15,čftlê!CveĜkpwjdf,2+1,|  balk  
A,11.10.2025,14.10.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu031:2539::0qspobkfn.czuv.32/qiq,"<spantranslate=""no"">11000</span>",484!82,čftlê!CveĜkpwjdf,2+1,|  MHD  |  balk  
A,08.10.2025,14.10.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu031:1258480qspobkfn.czu.32.76/qiq,"<spantranslate=""no"">14000</span>",481!17,čftlê!CveĜkpwjdf,2+1,|  OV  
X,06.10.2025,07.10.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0319:17:110qspobkfn.czuv.32.tf.{bisbepv.qsb{tlb.dftlf.cvefkpwjdf.4/qiq,14500,481!21,čftlê!CveĜkpwjdf,2+1,""
X,01.10.2025,08.10.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03197776260qspobkfn.czuv.32.79n3.cbmlpo.3y.tlmfq/qiq,13500,481!12,čftlê!CveĜkpwjdf,2+1,|  balk  
A,01.10.2025,14.10.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03197938590qspobkfn.czu.32.68/qiq,13000,481!15,čftlê!CveĜkpwjdf,2+1,|  MHD  
X,30.09.2025,02.10.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03197454280l.qspobknv.tmvooz.czu.32.t.cbmlpofn.b.lsbtozn.wzimfefn.w.o/qiq,12000,481!15,čftlê!CveĜkpwjdf,2+1,|  balk  
A,30.09.2025,14.10.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03197413110qspobkfn.czu.32.6:/qiq,16000,481!22,čftlê!CveĜkpwjdf,2+1,|  zateplen  
X,23.09.2025,25.09.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03194197230qspobkfn.czuv.3279n.cbmlpo.tlmfq.qsb{tlb.us/qiq,13500,481!12,čftlê!CveĜkpwjdf,2+1,|  balk  
A,23.09.2025,14.10.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu031941858:0qspobkfn.qplpkf.w.czuv.32/qiq,8000,481!16,čftlê!CveĜkpwjdf,2+1,""
X,19.09.2025,01.10.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03192296:10qspobkfn.32.dfousvn.vmjdf.opwb.dftlf.cvefkpwjdf/qiq,12000,481!12,čftlê!CveĜkpwjdf,2+1,|  centrum  |  MHD  
X,17.09.2025,18.09.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03191345130qspobkfn.czuv.32.65.n.dftlf.cvefkpwjdf.vm.kjspwdpwb/qiq,12000,481!15,čftlê!CveĜkpwjdf,2+1,""
A,17.09.2025,14.10.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03191497990qpeobkfn.czuz32.7168.n3.b.lsj{f.26853.dftlf.cvefkpw/qiq,13000,481!17,čftlê!CveĜkpwjdf,2+1,""
X,16.09.2025,17.09.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0318:874210qpeobkfn.czuz32.7168.n3.b.lsj{f.26853.dftlf.cvefkpw/qiq,13000,481!17,čftlê!CveĜkpwjdf,2+1,""
X,16.09.2025,22.09.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0318:911540qspobkfn.lsbtofip.{bsj{fofip.czuv.32.w.dftlzdi.cvefkpwjdjd/qiq,14000,481!22,čftlê!CveĜkpwjdf,2+1,|  balk  
A,15.09.2025,14.10.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0318:433820qspobkfn.{sflpotusvpwbofip.czuv.32.w.dfousv.dftlzdi.cvefkpw/qiq,14700,481!12,čftlê!CveĜkpwjdf,2+1,""
A,14.09.2025,14.10.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03189924150uzo.obe.wmubwpv.32/qiq,16000,486!12,čftlê!CveĜkpwjdf,2+1,""
A,11.09.2025,14.10.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03188732:40qspobkfn.czuv.3ll.69.n/qiq,15000,481!12,čftlê!CveĜkpwjdf,2+1,|  zateplen  |  MHD  
X,10.09.2025,11.09.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03188167750qspobkfn.lsbtofip.{bsj{fofip.czuv.32.w.dftlzdi.cvefkpwjdjd/qiq,14000,481!22,čftlê!CveĜkpwjdf,2+1,|  balk  
X,09.09.2025,12.09.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03187679::0qspobkfn.{bsj{fofip.czuv.32.duzsj.ewpsz.ddb.mfefo.3137/qiq,20000,481!23,čftlê!CveĜkpwjdf,2+1,|  centrum  |  balk  
X,07.09.2025,11.10.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03186835430qspobkfn.czuv.32/qiq,12000,484!82,čftlê!CveĜkpwjdf,2+1,|  MHD  
X,05.09.2025,16.09.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu031857:7:90qspobkfn.sflpotusvpwbofip.czuv.32.t.cbmlpofn.vmjdf.qvlmjdp/qiq,13000,481!15,čftlê!CveĜkpwjdf,2+1,|  MHD  |  balk  
X,04.09.2025,09.09.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu031854238:0qspobkfn.32.t.cbmlpofn.kbolpw.v.dftlzdi.cvefkpwjd/qiq,10000,484!95,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  |  balk  
X,04.09.2025,18.09.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu031854423:0qspobkfn.{efofip.czuv.32.psmjdlb.uzo.obe.wmubwpv/qiq,13000,486!12,čftlê!CveĜkpwjdf,2+1,""
A,02.09.2025,14.10.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03184533320qspobkfn.nf{pofupwfip.czuv.32.:5.n.t.ufsbtpv.27.n.vm.m/qiq,25000,481!18,čftlê!CveĜkpwjdf,2+1,|  zateplen  |  MHD  
X,02.09.2025,06.09.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0318457623032/qiq,16000,481!12,čftlê!CveĜkpwjdf,2+1,""
X,01.09.2025,21.09.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu031839:6510qspobkfn.qsptupsofip.czuz.32.63.n3.vmjdf.qsbdibujdlb.df/qiq,13500,481!16,čftlê!CveĜkpwjdf,2+1,|  zateplen  |  balk  
A,31.08.2025,14.10.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03183522:80qspobkfn.czu.32.wipeof.j.qsp.tuvefouz.dftlf.cvefkpwjdf/qiq,15000,481!12,čftlê!CveĜkpwjdf,2+1,|  centrum  |  MHD  
A,31.08.2025,14.10.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0318368:410qspobkfn.czuv.qm{fotlb.32473.dftlf.cvefkpwjdf/qiq,14000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  zateplen  
X,27.08.2025,18.09.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03181849120qspobkfn.czuv.42mpe{jf.dftlf.cvefkpwjdf/qiq,14000,481!15,čftlê!CveĜkpwjdf,2+1,|  osobní  |  zateplen  |  MHD  |  balk  
X,27.08.2025,28.08.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03181861470qsptupsoz.czu.32.l.qspobknv.w.dfousv.dftlzdi.cvefkpwjd/qiq,15000,481!15,čftlê!CveĜkpwjdf,2+1,|  balk  
