Active,Date Added,Last Active,URL,Price,ZIP,City,Disposition,Details
X,05.04.2024,19.04.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02948795:30nbn.{bkfn.p.czu.w.cpspwbofdi.b.plpmj/qiq,Nabídněte,484!23,čftlê!CveĜkpwjdf,2+1,""
A,31.03.2024,05.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02946189820qspebn.czu.32.65n3.qbslpwboj.wf.ewpsf.3y.tlmfq/qiq,3690000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  po rekonstrukci  
X,31.03.2024,06.04.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029463874:0qspefk.czuv.w.pw.32c.74n3.w.vmjdj.csbojtpwtlb/qiq,3900000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  |  balk  |  plastová okna  
A,27.03.2024,05.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029443246:0qspefk.czuv.32.p.wfmjlptuj.91.n3.w.se.imvcplb.obe.wmubwpv.dftlf.cvefkp/qiq,3000000,484!52,čftlê!CveĜkpwjdf,2+1,""
A,27.03.2024,05.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02944524650obcjeofuf.czu.2ll.3ll.32/qiq,Nabídněte,481!12,čftlê!CveĜkpwjdf,2+1,""
A,27.03.2024,05.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02944524260czu.2ll.3ll.32/qiq,Nabídněte,481!12,čftlê!CveĜkpwjdf,2+1,""
X,26.03.2024,31.03.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02943:42350qspefk.czuv.w.pw.32c.74n3.w.vmjdj.csbojtpwtlb/qiq,3900000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  |  balk  |  plastová okna  
X,26.03.2024,24.04.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029442:3550qspefk.czu.32.hbsb{.vm.evlfmtlb.dftlf.cvefkpwjdf/qiq,4800000,481!17,čftlê!CveĜkpwjdf,2+1,""
A,25.03.2024,05.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02943745360qspefk.czu.32.65/qiq,4821000,481!12,čftlê!CveĜkpwjdf,2+1,|  OV  
A,24.03.2024,05.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02943151450qspefk.czuv.t.hbsb{j/qiq,4700000,481!12,čftlê!CveĜkpwjdf,2+1,""
X,22.03.2024,07.04.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02941:3:580qspefk.{efofip.czuv.32.dfdpwb.dftlf.cvefkpwjdf/qiq,4100000,481!15,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  |  centrum  |  MHD  
A,21.03.2024,05.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029416:9610qspefk.czuv.32.w.dfousv.dc/qiq,4230000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  
A,19.03.2024,05.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0293:772710qspefk.czuv.32.68n3/qiq,2990000,485!12,čftlê!CveĜkpwjdf,2+1,""
