Active,Date Added,Last Active,URL,Price,ZIP,City,Disposition,Details
A,13.02.2026,13.02.2026,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0325:362650qspobkfn.czuv.4ll.73n3.mpe{jf.7n3.2.qbusp/qiq,"<spantranslate=""no"">15000</span>",481!16,čftlê!CveĜkpwjdf,3+kk,|  novostavb  
A,07.02.2026,13.02.2026,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03257856140qspobkfn.opwf.{sflpotusvpwbofip.czuv.4ll.211.n.svepmgpw/qiq,"<spantranslate=""no"">17500</span>",484!82,čftlê!CveĜkpwjdf,3+kk,""
A,05.02.2026,13.02.2026,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03256622990qspobkfn.czuv.4ll.81.n.tf.{bisbepv.b.qbslpwbojn.wdfmob/qiq,"<spantranslate=""no"">18450</span>",484!93,čftlê!CveĜkpwjdf,3+kk,""
X,21.01.2026,02.02.2026,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0324969:780qspobkfn.4ll.cbmlpo.ob.{mbuf.tupdf.qbslpwboj/qiq,"<spantranslate=""no"">18000</span>",481!16,čftlê!CveĜkpwjdf,3+kk,|  novostavb  |  balk  
X,19.01.2026,10.02.2026,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03248847620qspobkfn.czuv.4ll.vmjdf.39.sjkob.dftlf.cvefkpwjdf/qiq,"<spantranslate=""no"">18500</span>",481!12,čftlê!CveĜkpwjdf,3+kk,""
X,14.01.2026,29.01.2026,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03246215140qspobkfn.4ll.86.n3.vm.tmvofdob.sp{opw.dftlf.cvefkpw/qiq,"<spantranslate=""no"">18000</span>",481!12,čftlê!CveĜkpwjdf,3+kk,|  MHD  
A,08.01.2026,13.02.2026,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03242745380qspobkfn.czu.4ll.95/qiq,"<spantranslate=""no"">18000</span>",484!52,čftlê!CveĜkpwjdf,3+kk,|  balk  
A,08.01.2026,13.02.2026,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu032427413:0qspobkfn.czu.4ll.79/qiq,"<spantranslate=""no"">16500</span>",484!52,čftlê!CveĜkpwjdf,3+kk,""
X,02.01.2026,09.01.2026,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0323:139340qspobkfn.czuv.4ll.ufsbtb.3.qbslpwboj.mjuwjopwjdf/qiq,"<spantranslate=""no"">20000</span>",481!12,čftlê!CveĜkpwjdf,3+kk,|  novostavb  
X,31.12.2025,04.01.2026,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03239324820qspobkfn.czuv.4ll.t.ufsbtpv.sjfhspwb.dftlf.cvefkpwjdf/qiq,"<spantranslate=""no"">19500</span>",481!12,čftlê!CveĜkpwjdf,3+kk,|  OV  |  centrum  |  MHD  |  plastová okna  
X,19.12.2025,22.12.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03235266890qspobkfn.czuv.4ll.qsb{tlb.us.dftlf.cvefkpwjdf/qiq,"<spantranslate=""no"">15000</span>",481!15,čftlê!CveĜkpwjdf,3+kk,""
A,16.12.2025,13.02.2026,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03233672210l.qspobknv.czu.4ll.p.wznfsf.219.n3.mjejdlb.usjeb.dftlf.c/qiq,"<spantranslate=""no"">16000</span>",481!12,čftlê!CveĜkpwjdf,3+kk,|  osobní  
X,13.12.2025,14.12.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03232493540of{bsj{foz.twfumz.czu.4ll.t.np{optuj.wzv{jwboj.wfmlf.{bisbe/qiq,"<spantranslate=""no"">14000</span>",484!22,čftlê!CveĜkpwjdf,3+kk,""
X,09.12.2025,22.01.2026,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0322:712830qsptupsoz.4ll.l.empvipepcfnv.qspobknv/qiq,"<spantranslate=""no"">15900</span>",481!12,čftlê!CveĜkpwjdf,3+kk,""
X,03.12.2025,30.12.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03227:58120qspobkfn.{sflpotusvpwbofip.czuv.4ll.vmjdf.k.ejfusjdib.d/qiq,"<spantranslate=""no"">19000</span>",481!19,čftlê!CveĜkpwjdf,3+kk,""
